title,link,summary,published
Blackboxstocks Inc Merger Target REalloys Enters Strategic Allian,https://natlawreview.com/press-releases/blackboxstocks-inc-merger-target-realloys-enters-strategic-alliance-st,...REalloys role as a cornerstone of the U.S. defense and industrial magnet materials supply chain.Key... Government Trusted Partner: REalloys has contracts with the Defense Logistics Agency and other federal agencies to develop...,"Thu, 18 Sep 2025 23:55:26 GMT"
Acquisition Program Management Specialists & Acquisition Test Manager,https://www.afnwc.af.mil/About-Us/Jobs/Article/4308361/acquisition-program-management-specialists-acquisition-test-manager/,...strategic deterrence a top Secretary of Defense priority.These NH-1101-03 positions have a typical 2025 salary range of ... temporary duty station on commercial or military aircraft. This position is not eligible for remote work or regular and/or...,"Thu, 18 Sep 2025 22:13:27 GMT"
Space Force Adds Unit Tying Acquisition to Test and Training,https://www.airandspaceforces.com/space-force-adds-unit-acquisition-test-training/,"The Space Force is increasingly aligning efforts along mission lines, like missile defense, rather than functional lines, such as intelligence or acquisition. The goal is to minimize gaps and duplication of effort.Todd Harrison, an analyst...","Thu, 18 Sep 2025 20:02:25 GMT"
Denmark explores P-8A maritime patrol aircraft acquisition for Greenland surveillance,https://www.byteseu.com/1391453/,"...rights.This month, Denmark is leading a of military exercises throughout Greenland called Arctic Light 2025, which also... Poulsen was in Greenlands capital Nuuk to observe the event.The US military, which operates a leased space force base in...","Thu, 18 Sep 2025 20:35:12 GMT"
NBHC and Vista Sign Merger Agreement; Regulatory Approvals Required | NBHC SEC Filing - Form 8-K,https://www.stocktitan.net/sec-filings/NBHC/8-k-national-bank-holdings-corp-reports-material-event-cf4bae265500.html,"...of war (whether or not declared), cyberattacks, sabotage, acts of terrorism or military actions) or in economic or market (including equity, credit and debt markets, as well as changes or fluctuations in interest rates) conditions affecting the...","Thu, 18 Sep 2025 20:30:48 GMT"
"CFSB Bancorp 10-K: $28M Stock Raise, CECL Adoption, Hometown Merger | CFSB SEC Filing - Form 10-K",https://www.stocktitan.net/sec-filings/CFSB/10-k-cfsb-bancorp-inc-ma-files-annual-report-d09fa2a2ad1d.html,"...Accounting Oversight Board (the ""PCAOB"");the current or anticipated impact of military conflict, terrorism or other geopolitical event;our ability to retain key employees;our compensation expense associated with equity allocated or awarded...","Thu, 18 Sep 2025 20:30:35 GMT"
...from cancelling Boeing E-7A acquisition in annual...,https://www.flightglobal.com/fixed-wing/congress-moves-to-protect-us-e-7a-production-from-pentagon-cancellation/164580.article,"...fiscal year 2026 for the Department of Defense may be obligated or expended to terminate the mid-tier acquisition rapid... NDAA legislation is often used to restrict divestments of military hardware like aircraft, sometimes over the objections...","Thu, 18 Sep 2025 20:28:08 GMT"
"IonQ to Acquire Vector Atomic, Expanding Into Quantum Sensing for PNT",https://insidegnss.com/ionq-to-acquire-vector-atomic-expanding-into-quantum-sensing-for-pnt/,"Department of Defenses classified X-37B orbital test vehicle project, and applications for military submarine sensing... The acquisition aligns with IonQs strategic focus on government, defense, and quantum networking applications. Following...","Thu, 18 Sep 2025 18:07:49 GMT"
"IonQ Expanding into Sensing Domain, Plans to Acquire Vector Atomic",https://www.photonics.com/Articles/IonQ_Expanding_into_Sensing_Domain_Plans_to/p5/a71466,"The company has secured more than $200 million in government contracts, including a recently signed contract for the U.S. Department of Defenses classified X-37B orbital test vehicle project.For IonQ, the acquisition follows the establishment of...","Thu, 18 Sep 2025 17:15:19 GMT"
Blackboxstocks Inc Merger Target REalloys Enters Strategic Alliance with St George...,https://wallstreetnation.com/breaking-news/blackboxstocks-inc-merger-target-realloys-enters-strategic-alliance-with-st-george-mining-to-secure-high-grade-rare-earths-supply-from-the-araxa-project.html,...REalloys role as a cornerstone of the U.S. defense and industrial magnet materials supply chain.Key... Government Trusted Partner: REalloys has contracts with the Defense Logistics Agency and other federal agencies to develop...,"Thu, 18 Sep 2025 12:31:53 GMT"
Arbor Investments Announces Acquisition of Acxion Foodservice,https://www.arborpic.com/arbor-investments-announces-acquisition-of-acxion-foodservice/,"...diversified range of foodservice end-channels including restaurants, K-12 education, military, non-commercial and convenience stores. In addition, the Companys Marlin Connections and CSSI divisions deliver insights, marketing, communications...","Wed, 17 Sep 2025 19:00:07 GMT"
Phillies trade acquisition could be an unexpected postseason X factor,https://www.yardbarker.com/mlb/articles/phillies_trade_acquisition_could_be_an_unexpected_postseason_x_factor/s1_13132_42756706,"...Minnesota Twins, no one could have expected an All-Star performance from their new defense-first outfielder.The Phillies traded for him out of necessity. Bader brought two things to Philadelphia that their outfield sorely lacked: a solid bat and a...","Thu, 18 Sep 2025 12:46:54 GMT"
Denmark Eyes P-8 Poseidon Acquisition for Arctic Surveillance,https://thedefensepost.com/2025/09/18/denmark-p-8-poseidon/,"...diplomatic tensions with Copenhagen.Earlier this month, Denmarks defense minister attended the Arctic Light 2025 military exercise in Greenland with his Icelandic and Norwegian counterparts.The exercise involved more than 550 troops from NATO...","Thu, 18 Sep 2025 12:02:51 GMT"
Zenatech Expands Drone Services Through Strategic Acquisition,https://investorshangout.com/zenatech-expands-drone-services-through-strategic-acquisition-396345-/,"...various industries, including agriculture, defense, surveying, and logistics.Supporting Customers with Advanced ... inspection and survey tasks in commercial and defense sectors. Each product is engineered to streamline processes, tackle...","Thu, 18 Sep 2025 11:53:57 GMT"
Transforming the Drone Industry: ZenaTech's Strategic Acquisition,https://investorshangout.com/transforming-the-drone-industry-zenatechs-strategic-acquisition-396286-/,"Their advanced drones harness machine learning, AI, and innovative software, addressing diverse needs from agricultural management to defense applications. Notably, the ZenaDrone 1000 and IQ Nano serve significant functions in agriculture and...","Thu, 18 Sep 2025 11:43:23 GMT"
